timestamp_utc,eth_price_usd,gas_gwei,gas_usd,stablecoin_depth_usd,total_debt_usd,phi_m,kappa,Gamma,theta,F,market_status
2026-03-06T11:10:16Z,2059.25,25.0,18.02,3435311790.0,13387146977.0,0.256613,5.2e-09,0.05,14.710058,4.1e-07,STABLE
2026-03-06T11:10:19Z,2059.25,25.0,18.02,3435311790.0,13387145892.0,0.256613,5.2e-09,0.05,14.710058,4.1e-07,STABLE
2026-03-06T11:38:22Z,2064.39,25.0,18.06,3433522524.0,13387118849.0,0.25648,5.3e-09,0.05,14.706526,4.1e-07,STABLE
2026-03-06T12:16:53Z,2044.12,25.0,17.89,3434655875.0,13321953646.0,0.257819,5.2e-09,0.05,14.721933,4e-07,STABLE
2026-03-06T12:17:15Z,2044.94,25.0,17.89,3433973507.0,13321953909.0,0.257768,5.2e-09,0.05,14.721134,4e-07,STABLE
2026-03-06T12:17:22Z,2044.94,25.0,17.89,3433973507.0,13321953398.0,0.257768,5.2e-09,0.05,14.721134,4e-07,STABLE
2026-03-06T12:19:42Z,2047.64,25.0,17.92,3434105690.0,13323875220.0,0.257741,5.2e-09,0.05,14.719747,4e-07,STABLE
2026-03-06T12:19:44Z,2047.64,25.0,17.92,3434105690.0,13323878616.0,0.257741,5.2e-09,0.05,14.719747,4e-07,STABLE
2026-03-06T12:21:53Z,2052.55,25.0,17.96,3434236621.0,13354323541.0,0.257163,5.2e-09,0.05,14.715146,4.1e-07,STABLE
2026-03-06T12:21:55Z,2052.55,25.0,17.96,3434190701.0,13354243101.0,0.257161,5.2e-09,0.05,14.715125,4.1e-07,STABLE
2026-03-06T14:21:33Z,2010.52,25.0,17.59,3452941407.0,13216425418.0,0.261261,5.1e-09,0.05,14.757079,3.9e-07,STABLE
2026-03-06T14:21:35Z,2010.52,25.0,17.59,3452941407.0,13216425602.0,0.261261,5.1e-09,0.05,14.757079,3.9e-07,STABLE
2026-03-06T14:23:53Z,2011.06,25.0,17.6,3452863271.0,13216523799.0,0.261254,5.1e-09,0.05,14.756758,3.9e-07,STABLE
2026-03-06T14:23:54Z,2011.06,25.0,17.6,3452817127.0,13216442286.0,0.261252,5.1e-09,0.05,14.756737,3.9e-07,STABLE
2026-03-06T14:28:27Z,2010.42,25.0,17.59,3454714205.0,13214718834.0,0.261429,5.1e-09,0.05,14.758284,3.9e-07,STABLE
